Time (s)  Flap Rotation y (radians)Flap Rotation y (degrees)
16.71               0.1087          6.2322
16.74               0.1098          6.2954
16.77               0.1109          6.3579
16.80               0.1120          6.4198
16.83               0.1131          6.4812
16.86               0.1141          6.5419
16.89               0.1152          6.6020
16.92               0.1162          6.6615
16.95               0.1172          6.7203
16.98               0.1182          6.7785
17.01               0.1193          6.8361
17.04               0.1202          6.8930
17.07               0.1212          6.9492
17.10               0.1222          7.0048
17.13               0.1232          7.0598
17.16               0.1241          7.1140
17.19               0.1250          7.1676
17.22               0.1260          7.2205
17.25               0.1269          7.2727
17.28               0.1278          7.3243
17.31               0.1287          7.3751
17.34               0.1295          7.4252
17.37               0.1304          7.4747
17.40               0.1312          7.5234
17.43               0.1321          7.5714
17.46               0.1329          7.6187
17.49               0.1337          7.6652
17.52               0.1345          7.7111
17.55               0.1353          7.7562
17.58               0.1361          7.8005
17.61               0.1368          7.8441
17.64               0.1376          7.8870
17.67               0.1383          7.9291
17.70               0.1390          7.9705
17.73               0.1397          8.0111
17.76               0.1404          8.0510
17.79               0.1411          8.0900
17.82               0.1418          8.1284
17.85               0.1424          8.1659
17.88               0.1431          8.2027
17.91               0.1437          8.2386
17.94               0.1443          8.2738
17.97               0.1449          8.3082
18.00               0.1455          8.3418
18.03               0.1461          8.3747
18.06               0.1466          8.4067
18.09               0.1472          8.4379
18.12               0.1477          8.4683
18.15               0.1482          8.4979
18.18               0.1487          8.5267
18.21               0.1492          8.5547
18.24               0.1497          8.5818
18.27               0.1502          8.6082
18.30               0.1506          8.6337
18.33               0.1510          8.6584
18.36               0.1515          8.6822
18.39               0.1519          8.7053
18.42               0.1522          8.7275
18.45               0.1526          8.7488
18.48               0.1530          8.7693
18.51               0.1533          8.7890
18.54               0.1536          8.8079
18.57               0.1540          8.8259
18.60               0.1543          8.8430
18.63               0.1545          8.8593
18.66               0.1548          8.8748
18.69               0.1551          8.8894
18.72               0.1553          8.9031
18.75               0.1555          8.9161
18.78               0.1557          8.9281
18.81               0.1559          8.9393
18.84               0.1561          8.9496
18.87               0.1563          8.9591
18.90               0.1564          8.9677
18.93               0.1566          8.9755
18.96               0.1567          8.9824
18.99               0.1568          8.9884
19.02               0.1569          8.9936
19.05               0.1570          8.9979
19.08               0.1570          9.0013
19.11               0.1571          9.0039
19.14               0.1571          9.0056
19.17               0.1571          9.0065
19.20               0.1571          9.0065
19.23               0.1571          9.0056
19.26               0.1571          9.0039
19.29               0.1570          9.0013
19.32               0.1570          8.9978
19.35               0.1569          8.9935
19.38               0.1568          8.9883
19.41               0.1567          8.9823
19.44               0.1566          8.9754
19.47               0.1564          8.9676
19.50               0.1563          8.9590
19.53               0.1561          8.9495
19.56               0.1559          8.9392
19.59               0.1557          8.9280
19.62               0.1555          8.9160
19.65               0.1553          8.9031
19.68               0.1551          8.8894
19.71               0.1548          8.8748
19.74               0.1545          8.8593
19.77               0.1543          8.8431
19.80               0.1540          8.8259
19.83               0.1537          8.8080
19.86               0.1533          8.7892
