Time (s)    Heave_Spectrum (m)    Heave_Eta (m)    Difference (m)
    70.050         -2.45268970       -2.45268970        5.7585e-12
    70.065         -2.44878568       -2.44878568        5.3886e-12
    70.080         -2.44492370       -2.44492370        5.0200e-12
    70.095         -2.44110344       -2.44110344        4.6523e-12
    70.110         -2.43732459       -2.43732459        4.2863e-12
    70.125         -2.43358677       -2.43358677        3.9222e-12
    70.140         -2.42988962       -2.42988962        3.5594e-12
    70.155         -2.42623270       -2.42623270        3.1983e-12
    70.170         -2.42261557       -2.42261557        2.8395e-12
    70.185         -2.41903776       -2.41903776        2.4829e-12
    70.200         -2.41549877       -2.41549877        2.1285e-12
    70.215         -2.41199807       -2.41199807        1.7768e-12
    70.230         -2.40853509       -2.40853509        1.4273e-12
    70.245         -2.40510926       -2.40510926        1.0809e-12
    70.260         -2.40171996       -2.40171996        7.3674e-13
    70.275         -2.39836657       -2.39836657        3.9568e-13
    70.290         -2.39504841       -2.39504841        5.7732e-14
    70.305         -2.39176479       -2.39176479       -2.7711e-13
    70.320         -2.38851502       -2.38851502       -6.0840e-13
    70.335         -2.38529835       -2.38529835       -9.3658e-13
    70.350         -2.38211402       -2.38211402       -1.2612e-12
    70.365         -2.37896125       -2.37896125       -1.5818e-12
    70.380         -2.37583923       -2.37583923       -1.8989e-12
    70.395         -2.37274713       -2.37274713       -2.2120e-12
    70.410         -2.36968411       -2.36968411       -2.5211e-12
    70.425         -2.36664929       -2.36664929       -2.8257e-12
    70.440         -2.36364178       -2.36364178       -3.1264e-12
    70.455         -2.36066066       -2.36066066       -3.4230e-12
    70.470         -2.35770502       -2.35770502       -3.7153e-12
    70.485         -2.35477389       -2.35477389       -4.0030e-12
    70.500         -2.35186631       -2.35186631       -4.2863e-12
    70.515         -2.34898129       -2.34898129       -4.5648e-12
    70.530         -2.34611783       -2.34611783       -4.8388e-12
    70.545         -2.34327490       -2.34327490       -5.1079e-12
    70.560         -2.34045147       -2.34045147       -5.3721e-12
    70.575         -2.33764649       -2.33764649       -5.6311e-12
    70.590         -2.33485888       -2.33485888       -5.8851e-12
    70.605         -2.33208758       -2.33208758       -6.1342e-12
    70.620         -2.32933148       -2.32933148       -6.3780e-12
    70.635         -2.32658948       -2.32658948       -6.6165e-12
    70.650         -2.32386046       -2.32386046       -6.8496e-12
    70.665         -2.32114328       -2.32114328       -7.0774e-12
    70.680         -2.31843681       -2.31843681       -7.2999e-12
    70.695         -2.31573989       -2.31573989       -7.5171e-12
    70.710         -2.31305136       -2.31305136       -7.7285e-12
    70.725         -2.31037006       -2.31037006       -7.9341e-12
    70.740         -2.30769479       -2.30769479       -8.1344e-12
    70.755         -2.30502438       -2.30502438       -8.3289e-12
    70.770         -2.30235763       -2.30235763       -8.5176e-12
    70.785         -2.29969334       -2.29969334       -8.7006e-12
    70.800         -2.29703032       -2.29703032       -8.8778e-12
    70.815         -2.29436734       -2.29436734       -9.0492e-12
    70.830         -2.29170319       -2.29170319       -9.2149e-12
    70.845         -2.28903667       -2.28903667       -9.3747e-12
    70.860         -2.28636654       -2.28636654       -9.5284e-12
    70.875         -2.28369159       -2.28369159       -9.6763e-12
    70.890         -2.28101059       -2.28101059       -9.8179e-12
    70.905         -2.27832233       -2.27832233       -9.9538e-12
    70.920         -2.27562557       -2.27562557       -1.0083e-11
    70.935         -2.27291909       -2.27291909       -1.0207e-11
    70.950         -2.27020169       -2.27020169       -1.0325e-11
    70.965         -2.26747212       -2.26747212       -1.0437e-11
    70.980         -2.26472919       -2.26472919       -1.0542e-11
    70.995         -2.26197168       -2.26197168       -1.0642e-11
    71.010         -2.25919838       -2.25919838       -1.0735e-11
    71.025         -2.25640808       -2.25640808       -1.0822e-11
    71.040         -2.25359960       -2.25359960       -1.0904e-11
    71.055         -2.25077174       -2.25077174       -1.0979e-11
    71.070         -2.24792332       -2.24792332       -1.1048e-11
    71.085         -2.24505316       -2.24505316       -1.1111e-11
    71.100         -2.24216009       -2.24216009       -1.1168e-11
    71.115         -2.23924297       -2.23924297       -1.1219e-11
    71.130         -2.23630064       -2.23630064       -1.1263e-11
    71.145         -2.23333196       -2.23333196       -1.1302e-11
    71.160         -2.23033581       -2.23033581       -1.1335e-11
    71.175         -2.22731108       -2.22731108       -1.1362e-11
    71.190         -2.22425665       -2.22425665       -1.1382e-11
    71.205         -2.22117145       -2.22117145       -1.1398e-11
    71.220         -2.21805440       -2.21805440       -1.1406e-11
    71.235         -2.21490444       -2.21490444       -1.1410e-11
    71.250         -2.21172053       -2.21172053       -1.1407e-11
    71.265         -2.20850162       -2.20850162       -1.1398e-11
    71.280         -2.20524673       -2.20524673       -1.1384e-11
    71.295         -2.20195483       -2.20195483       -1.1364e-11
    71.310         -2.19862497       -2.19862497       -1.1338e-11
    71.325         -2.19525617       -2.19525617       -1.1306e-11
    71.340         -2.19184749       -2.19184749       -1.1268e-11
    71.355         -2.18839802       -2.18839802       -1.1226e-11
    71.370         -2.18490684       -2.18490684       -1.1178e-11
    71.385         -2.18137309       -2.18137309       -1.1124e-11
    71.400         -2.17779588       -2.17779588       -1.1064e-11
    71.415         -2.17417440       -2.17417440       -1.1000e-11
    71.430         -2.17050780       -2.17050780       -1.0930e-11
    71.445         -2.16679531       -2.16679531       -1.0855e-11
    71.460         -2.16303615       -2.16303615       -1.0774e-11
    71.475         -2.15922957       -2.15922957       -1.0689e-11
    71.490         -2.15537484       -2.15537484       -1.0599e-11
    71.505         -2.15147126       -2.15147126       -1.0503e-11
    71.520         -2.14751815       -2.14751815       -1.0403e-11
    71.535         -2.14351487       -2.14351487       -1.0298e-11
    71.550         -2.13946078       -2.13946078       -1.0187e-11
    71.565         -2.13535530       -2.13535530       -1.0073e-11
    71.580         -2.13119783       -2.13119783       -9.9534e-12
    71.595         -2.12698785       -2.12698785       -9.8295e-12
    71.610         -2.12272482       -2.12272482       -9.7011e-12
    71.625         -2.11840826       -2.11840826       -9.5683e-12
    71.640         -2.11403771       -2.11403771       -9.4316e-12
    71.655         -2.10961271       -2.10961271       -9.2908e-12
    71.670         -2.10513288       -2.10513288       -9.1460e-12
    71.685         -2.10059783       -2.10059783       -8.9968e-12
    71.700         -2.09600720       -2.09600720       -8.8440e-12
    71.715         -2.09136068       -2.09136068       -8.6873e-12
    71.730         -2.08665798       -2.08665798       -8.5265e-12
    71.745         -2.08189884       -2.08189884       -8.3626e-12
    71.760         -2.07708301       -2.07708301       -8.1952e-12
    71.775         -2.07221031       -2.07221031       -8.0242e-12
    71.790         -2.06728055       -2.06728055       -7.8502e-12
    71.805         -2.06229361       -2.06229361       -7.6730e-12
    71.820         -2.05724936       -2.05724936       -7.4927e-12
    71.835         -2.05214772       -2.05214772       -7.3093e-12
    71.850         -2.04698865       -2.04698865       -7.1232e-12
    71.865         -2.04177213       -2.04177213       -6.9340e-12
    71.880         -2.03649816       -2.03649816       -6.7426e-12
    71.895         -2.03116680       -2.03116680       -6.5485e-12
    71.910         -2.02577811       -2.02577811       -6.3523e-12
    71.925         -2.02033219       -2.02033219       -6.1537e-12
    71.940         -2.01482919       -2.01482919       -5.9530e-12
    71.955         -2.00926927       -2.00926927       -5.7505e-12
    71.970         -2.00365263       -2.00365263       -5.5458e-12
    71.985         -1.99797948       -1.99797948       -5.3393e-12
    72.000         -1.99225010       -1.99225010       -5.1312e-12
    72.015         -1.98646477       -1.98646477       -4.9216e-12
    72.030         -1.98062380       -1.98062380       -4.7105e-12
    72.045         -1.97472755       -1.97472755       -4.4980e-12
    72.060         -1.96877640       -1.96877640       -4.2844e-12
    72.075         -1.96277075       -1.96277075       -4.0699e-12
    72.090         -1.95671104       -1.95671104       -3.8543e-12
    72.105         -1.95059774       -1.95059774       -3.6378e-12
    72.120         -1.94443135       -1.94443135       -3.4206e-12
    72.135         -1.93821239       -1.93821239       -3.2028e-12
    72.150         -1.93194142       -1.93194142       -2.9845e-12
    72.165         -1.92561902       -1.92561902       -2.7660e-12
    72.180         -1.91924581       -1.91924581       -2.5473e-12
    72.195         -1.91282241       -1.91282241       -2.3284e-12
    72.210         -1.90634950       -1.90634950       -2.1094e-12
    72.225         -1.89982778       -1.89982778       -1.8907e-12
    72.240         -1.89325795       -1.89325795       -1.6722e-12
    72.255         -1.88664077       -1.88664077       -1.4539e-12
    72.270         -1.87997701       -1.87997701       -1.2363e-12
    72.285         -1.87326746       -1.87326746       -1.0194e-12
    72.300         -1.86651295       -1.86651295       -8.0291e-13
    72.315         -1.85971433       -1.85971433       -5.8731e-13
    72.330         -1.85287247       -1.85287247       -3.7259e-13
    72.345         -1.84598825       -1.84598825       -1.5898e-13
    72.360         -1.83906261       -1.83906261        5.3735e-14
    72.375         -1.83209647       -1.83209647        2.6534e-13
    72.390         -1.82509081       -1.82509081        4.7540e-13
    72.405         -1.81804660       -1.81804660        6.8412e-13
    72.420         -1.81096485       -1.81096485        8.9129e-13
    72.435         -1.80384657       -1.80384657        1.0969e-12
    72.450         -1.79669283       -1.79669283        1.3007e-12
    72.465         -1.78950468       -1.78950468        1.5030e-12
    72.480         -1.78228320       -1.78228320        1.7033e-12
    72.495         -1.77502949       -1.77502949        1.9018e-12
    72.510         -1.76774466       -1.76774466        2.0981e-12
    72.525         -1.76042986       -1.76042986        2.2924e-12
    72.540         -1.75308623       -1.75308623        2.4845e-12
    72.555         -1.74571494       -1.74571494        2.6745e-12
    72.570         -1.73831715       -1.73831715        2.8619e-12
    72.585         -1.73089408       -1.73089408        3.0471e-12
    72.600         -1.72344691       -1.72344691        3.2299e-12
    72.615         -1.71597687       -1.71597687        3.4099e-12
    72.630         -1.70848520       -1.70848520        3.5876e-12
    72.645         -1.70097312       -1.70097312        3.7625e-12
    72.660         -1.69344190       -1.69344190        3.9349e-12
    72.675         -1.68589279       -1.68589279        4.1045e-12
    72.690         -1.67832707       -1.67832707        4.2715e-12
    72.705         -1.67074600       -1.67074600        4.4353e-12
    72.720         -1.66315089       -1.66315089        4.5965e-12
    72.735         -1.65554301       -1.65554301        4.7546e-12
    72.750         -1.64792367       -1.64792367        4.9099e-12
    72.765         -1.64029417       -1.64029417        5.0620e-12
    72.780         -1.63265582       -1.63265582        5.2112e-12
    72.795         -1.62500994       -1.62500994        5.3575e-12
    72.810         -1.61735782       -1.61735782        5.5007e-12
    72.825         -1.60970080       -1.60970080        5.6408e-12
    72.840         -1.60204020       -1.60204020        5.7778e-12
    72.855         -1.59437732       -1.59437732        5.9117e-12
    72.870         -1.58671350       -1.58671350        6.0425e-12
    72.885         -1.57905004       -1.57905004        6.1702e-12
    72.900         -1.57138828       -1.57138828        6.2947e-12
    72.915         -1.56372952       -1.56372952        6.4160e-12
    72.930         -1.55607508       -1.55607508        6.5341e-12
    72.945         -1.54842628       -1.54842628        6.6491e-12
    72.960         -1.54078441       -1.54078441        6.7610e-12
    72.975         -1.53315078       -1.53315078        6.8701e-12
    72.990         -1.52552668       -1.52552668        6.9760e-12
    73.005         -1.51791342       -1.51791342        7.0788e-12
    73.020         -1.51031226       -1.51031226        7.1783e-12
    73.035         -1.50272450       -1.50272450        7.2748e-12
    73.050         -1.49515139       -1.49515139        7.3686e-12
    73.065         -1.48759421       -1.48759421        7.4591e-12
    73.080         -1.48005419       -1.48005419        7.5466e-12
    73.095         -1.47253260       -1.47253260        7.6312e-12
    73.110         -1.46503066       -1.46503066        7.7129e-12
    73.125         -1.45754959       -1.45754959        7.7918e-12
    73.140         -1.45009061       -1.45009061        7.8677e-12
    73.155         -1.44265491       -1.44265491        7.9408e-12
    73.170         -1.43524369       -1.43524369        8.0111e-12
    73.185         -1.42785812       -1.42785812        8.0789e-12
    73.200         -1.42049936       -1.42049936        8.1439e-12
    73.215         -1.41316857       -1.41316857        8.2063e-12
    73.230         -1.40586688       -1.40586688        8.2663e-12
    73.245         -1.39859541       -1.39859541        8.3236e-12
    73.260         -1.39135527       -1.39135527        8.3784e-12
    73.275         -1.38414755       -1.38414755        8.4310e-12
    73.290         -1.37697334       -1.37697334        8.4812e-12
    73.305         -1.36983369       -1.36983369        8.5290e-12
    73.320         -1.36272965       -1.36272965        8.5745e-12
    73.335         -1.35566225       -1.35566225        8.6180e-12
    73.350         -1.34863251       -1.34863251        8.6595e-12
    73.365         -1.34164142       -1.34164142        8.6988e-12
    73.380         -1.33468997       -1.33468997        8.7363e-12
    73.395         -1.32777911       -1.32777911        8.7719e-12
    73.410         -1.32090980       -1.32090980        8.8056e-12
    73.425         -1.31408296       -1.31408296        8.8376e-12
    73.440         -1.30729951       -1.30729951        8.8678e-12
    73.455         -1.30056034       -1.30056034        8.8964e-12
    73.470         -1.29386633       -1.29386633        8.9235e-12
    73.485         -1.28721834       -1.28721834        8.9493e-12
    73.500         -1.28061721       -1.28061721        8.9737e-12
    73.515         -1.27406377       -1.27406377        8.9968e-12
    73.530         -1.26755881       -1.26755881        9.0186e-12
    73.545         -1.26110314       -1.26110314        9.0390e-12
    73.560         -1.25469751       -1.25469751        9.0585e-12
    73.575         -1.24834269       -1.24834269        9.0770e-12
    73.590         -1.24203941       -1.24203941        9.0943e-12
    73.605         -1.23578839       -1.23578839        9.1109e-12
    73.620         -1.22959032       -1.22959032        9.1267e-12
    73.635         -1.22344589       -1.22344589        9.1416e-12
    73.650         -1.21735577       -1.21735577        9.1562e-12
    73.665         -1.21132061       -1.21132061        9.1702e-12
    73.680         -1.20534103       -1.20534103        9.1835e-12
    73.695         -1.19941765       -1.19941765        9.1964e-12
    73.710         -1.19355107       -1.19355107        9.2091e-12
    73.725         -1.18774188       -1.18774188        9.2215e-12
    73.740         -1.18199063       -1.18199063        9.2337e-12
    73.755         -1.17629789       -1.17629789        9.2457e-12
    73.770         -1.17066418       -1.17066418        9.2577e-12
    73.785         -1.16509002       -1.16509002        9.2697e-12
    73.800         -1.15957593       -1.15957593        9.2819e-12
    73.815         -1.15412238       -1.15412238        9.2941e-12
    73.830         -1.14872985       -1.14872985        9.3066e-12
    73.845         -1.14339882       -1.14339882        9.3192e-12
    73.860         -1.13812971       -1.13812971        9.3325e-12
    73.875         -1.13292298       -1.13292298        9.3461e-12
    73.890         -1.12777903       -1.12777903        9.3601e-12
    73.905         -1.12269828       -1.12269828        9.3747e-12
    73.920         -1.11768112       -1.11768112        9.3898e-12
    73.935         -1.11272795       -1.11272795        9.4056e-12
    73.950         -1.10783912       -1.10783912        9.4220e-12
    73.965         -1.10301500       -1.10301500        9.4396e-12
    73.980         -1.09825595       -1.09825595        9.4578e-12
    73.995         -1.09356230       -1.09356230        9.4769e-12
    74.010         -1.08893438       -1.08893438        9.4968e-12
    74.025         -1.08437252       -1.08437252        9.5179e-12
    74.040         -1.07987702       -1.07987702        9.5401e-12
    74.055         -1.07544819       -1.07544819        9.5635e-12
    74.070         -1.07108633       -1.07108633        9.5877e-12
    74.085         -1.06679171       -1.06679171        9.6132e-12
    74.100         -1.06256462       -1.06256462        9.6401e-12
    74.115         -1.05840533       -1.05840533        9.6680e-12
    74.130         -1.05431410       -1.05431410        9.6974e-12
    74.145         -1.05029119       -1.05029119        9.7280e-12
    74.160         -1.04633686       -1.04633686        9.7602e-12
    74.175         -1.04245135       -1.04245135        9.7935e-12
    74.190         -1.03863491       -1.03863491        9.8284e-12
    74.205         -1.03488777       -1.03488777        9.8646e-12
    74.220         -1.03121016       -1.03121016        9.9023e-12
    74.235         -1.02760232       -1.02760232        9.9414e-12
    74.250         -1.02406446       -1.02406446        9.9820e-12
    74.265         -1.02059682       -1.02059682        1.0024e-11
    74.280         -1.01719961       -1.01719961        1.0068e-11
    74.295         -1.01387305       -1.01387305        1.0113e-11
    74.310         -1.01061734       -1.01061734        1.0160e-11
    74.325         -1.00743272       -1.00743272        1.0209e-11
    74.340         -1.00431938       -1.00431938        1.0259e-11
    74.355         -1.00127754       -1.00127754        1.0311e-11
    74.370         -0.99830740       -0.99830740        1.0364e-11
    74.385         -0.99540918       -0.99540918        1.0419e-11
    74.400         -0.99258309       -0.99258309        1.0476e-11
    74.415         -0.98982932       -0.98982932        1.0534e-11
    74.430         -0.98714810       -0.98714810        1.0594e-11
    74.445         -0.98453963       -0.98453963        1.0655e-11
    74.460         -0.98200412       -0.98200412        1.0718e-11
    74.475         -0.97954178       -0.97954178        1.0782e-11
    74.490         -0.97715282       -0.97715282        1.0848e-11
    74.505         -0.97483746       -0.97483746        1.0915e-11
    74.520         -0.97259592       -0.97259592        1.0985e-11
    74.535         -0.97042840       -0.97042840        1.1055e-11
    74.550         -0.96833512       -0.96833512        1.1127e-11
    74.565         -0.96631632       -0.96631632        1.1201e-11
    74.580         -0.96437221       -0.96437221        1.1275e-11
    74.595         -0.96250301       -0.96250301        1.1352e-11
    74.610         -0.96070895       -0.96070895        1.1429e-11
    74.625         -0.95899027       -0.95899027        1.1508e-11
    74.640         -0.95734719       -0.95734719        1.1589e-11
    74.655         -0.95577995       -0.95577995        1.1670e-11
    74.670         -0.95428879       -0.95428879        1.1753e-11
    74.685         -0.95287394       -0.95287394        1.1837e-11
    74.700         -0.95153565       -0.95153565        1.1922e-11
    74.715         -0.95027417       -0.95027417        1.2008e-11
    74.730         -0.94908974       -0.94908974        1.2096e-11
    74.745         -0.94798262       -0.94798262        1.2184e-11
    74.760         -0.94695305       -0.94695305        1.2273e-11
    74.775         -0.94600129       -0.94600129        1.2364e-11
    74.790         -0.94512760       -0.94512760        1.2455e-11
    74.805         -0.94433225       -0.94433225        1.2547e-11
    74.820         -0.94361548       -0.94361548        1.2640e-11
    74.835         -0.94297758       -0.94297758        1.2733e-11
    74.850         -0.94241880       -0.94241880        1.2828e-11
    74.865         -0.94193941       -0.94193941        1.2922e-11
    74.880         -0.94153969       -0.94153969        1.3018e-11
    74.895         -0.94121991       -0.94121991        1.3114e-11
    74.910         -0.94098034       -0.94098034        1.3210e-11
    74.925         -0.94082125       -0.94082125        1.3307e-11
    74.940         -0.94074292       -0.94074292        1.3404e-11
    74.955         -0.94074564       -0.94074564        1.3501e-11
    74.970         -0.94082966       -0.94082966        1.3599e-11
    74.985         -0.94099529       -0.94099529        1.3697e-11
    75.000         -0.94124278       -0.94124278        1.3795e-11
    75.015         -0.94157243       -0.94157243        1.3892e-11
    75.030         -0.94198451       -0.94198451        1.3990e-11
    75.045         -0.94247930       -0.94247930        1.4088e-11
    75.060         -0.94305707       -0.94305707        1.4185e-11
    75.075         -0.94371810       -0.94371810        1.4282e-11
    75.090         -0.94446266       -0.94446266        1.4379e-11
    75.105         -0.94529104       -0.94529104        1.4476e-11
    75.120         -0.94620349       -0.94620349        1.4572e-11
    75.135         -0.94720030       -0.94720030        1.4667e-11
    75.150         -0.94828172       -0.94828172        1.4762e-11
    75.165         -0.94944802       -0.94944802        1.4857e-11
    75.180         -0.95069946       -0.95069946        1.4950e-11
    75.195         -0.95203630       -0.95203630        1.5043e-11
    75.210         -0.95345880       -0.95345880        1.5135e-11
    75.225         -0.95496719       -0.95496719        1.5225e-11
    75.240         -0.95656174       -0.95656174        1.5315e-11
    75.255         -0.95824268       -0.95824268        1.5404e-11
    75.270         -0.96001024       -0.96001024        1.5491e-11
    75.285         -0.96186466       -0.96186466        1.5578e-11
    75.300         -0.96380616       -0.96380616        1.5663e-11
    75.315         -0.96583496       -0.96583496        1.5746e-11
    75.330         -0.96795128       -0.96795128        1.5829e-11
    75.345         -0.97015531       -0.97015531        1.5909e-11
    75.360         -0.97244726       -0.97244726        1.5988e-11
    75.375         -0.97482733       -0.97482733        1.6066e-11
    75.390         -0.97729568       -0.97729568        1.6141e-11
    75.405         -0.97985251       -0.97985251        1.6215e-11
    75.420         -0.98249797       -0.98249797        1.6287e-11
    75.435         -0.98523222       -0.98523222        1.6357e-11
    75.450         -0.98805542       -0.98805542        1.6425e-11
    75.465         -0.99096770       -0.99096770        1.6491e-11
    75.480         -0.99396919       -0.99396919        1.6555e-11
    75.495         -0.99706001       -0.99706001        1.6616e-11
    75.510         -1.00024028       -1.00024028        1.6675e-11
    75.525         -1.00351009       -1.00351009        1.6732e-11
    75.540         -1.00686952       -1.00686952        1.6787e-11
    75.555         -1.01031865       -1.01031865        1.6839e-11
    75.570         -1.01385755       -1.01385755        1.6888e-11
    75.585         -1.01748627       -1.01748627        1.6936e-11
    75.600         -1.02120483       -1.02120483        1.6980e-11
    75.615         -1.02501328       -1.02501328        1.7021e-11
    75.630         -1.02891163       -1.02891163        1.7060e-11
    75.645         -1.03289986       -1.03289986        1.7096e-11
    75.660         -1.03697797       -1.03697797        1.7129e-11
    75.675         -1.04114593       -1.04114593        1.7160e-11
    75.690         -1.04540370       -1.04540370        1.7187e-11
    75.705         -1.04975121       -1.04975121        1.7211e-11
    75.720         -1.05418839       -1.05418839        1.7232e-11
    75.735         -1.05871516       -1.05871516        1.7250e-11
    75.750         -1.06333141       -1.06333141        1.7265e-11
    75.765         -1.06803702       -1.06803702        1.7277e-11
    75.780         -1.07283186       -1.07283186        1.7285e-11
    75.795         -1.07771576       -1.07771576        1.7290e-11
    75.810         -1.08268857       -1.08268857        1.7292e-11
    75.825         -1.08775010       -1.08775010        1.7290e-11
    75.840         -1.09290014       -1.09290015        1.7286e-11
    75.855         -1.09813848       -1.09813848        1.7277e-11
    75.870         -1.10346487       -1.10346487        1.7265e-11
    75.885         -1.10887907       -1.10887907        1.7250e-11
    75.900         -1.11438079       -1.11438079        1.7230e-11
    75.915         -1.11996975       -1.11996975        1.7208e-11
    75.930         -1.12564563       -1.12564563        1.7182e-11
    75.945         -1.13140811       -1.13140811        1.7152e-11
    75.960         -1.13725684       -1.13725684        1.7119e-11
    75.975         -1.14319145       -1.14319145        1.7081e-11
    75.990         -1.14921157       -1.14921157        1.7041e-11
    76.005         -1.15531678       -1.15531678        1.6996e-11
    76.020         -1.16150666       -1.16150666        1.6948e-11
    76.035         -1.16778078       -1.16778078        1.6896e-11
    76.050         -1.17413866       -1.17413866        1.6841e-11
    76.065         -1.18057983       -1.18057983        1.6781e-11
    76.080         -1.18710379       -1.18710379        1.6718e-11
    76.095         -1.19371002       -1.19371002        1.6651e-11
    76.110         -1.20039798       -1.20039798        1.6580e-11
    76.125         -1.20716711       -1.20716711        1.6505e-11
    76.140         -1.21401682       -1.21401682        1.6427e-11
    76.155         -1.22094653       -1.22094653        1.6345e-11
    76.170         -1.22795561       -1.22795561        1.6259e-11
    76.185         -1.23504342       -1.23504342        1.6169e-11
    76.200         -1.24220931       -1.24220931        1.6076e-11
    76.215         -1.24945260       -1.24945260        1.5979e-11
    76.230         -1.25677258       -1.25677258        1.5878e-11
    76.245         -1.26416855       -1.26416855        1.5773e-11
    76.260         -1.27163976       -1.27163976        1.5664e-11
    76.275         -1.27918547       -1.27918547        1.5552e-11
    76.290         -1.28680488       -1.28680488        1.5436e-11
    76.305         -1.29449722       -1.29449722        1.5317e-11
    76.320         -1.30226166       -1.30226166        1.5193e-11
    76.335         -1.31009737       -1.31009737        1.5067e-11
    76.350         -1.31800350       -1.31800350        1.4936e-11
    76.365         -1.32597917       -1.32597917        1.4802e-11
    76.380         -1.33402350       -1.33402350        1.4664e-11
    76.395         -1.34213558       -1.34213558        1.4523e-11
    76.410         -1.35031448       -1.35031448        1.4378e-11
    76.425         -1.35855926       -1.35855926        1.4229e-11
    76.440         -1.36686894       -1.36686894        1.4077e-11
    76.455         -1.37524256       -1.37524256        1.3922e-11
    76.470         -1.38367910       -1.38367910        1.3764e-11
    76.485         -1.39217756       -1.39217756        1.3602e-11
    76.500         -1.40073690       -1.40073690        1.3437e-11
    76.515         -1.40935606       -1.40935606        1.3268e-11
    76.530         -1.41803399       -1.41803399        1.3097e-11
    76.545         -1.42676959       -1.42676959        1.2922e-11
    76.560         -1.43556177       -1.43556177        1.2744e-11
    76.575         -1.44440940       -1.44440940        1.2563e-11
    76.590         -1.45331136       -1.45331136        1.2379e-11
    76.605         -1.46226649       -1.46226649        1.2192e-11
    76.620         -1.47127364       -1.47127364        1.2002e-11
    76.635         -1.48033162       -1.48033162        1.1809e-11
    76.650         -1.48943924       -1.48943924        1.1614e-11
    76.665         -1.49859529       -1.49859529        1.1415e-11
    76.680         -1.50779855       -1.50779855        1.1214e-11
    76.695         -1.51704778       -1.51704778        1.1010e-11
    76.710         -1.52634174       -1.52634174        1.0804e-11
    76.725         -1.53567915       -1.53567915        1.0595e-11
    76.740         -1.54505876       -1.54505876        1.0383e-11
    76.755         -1.55447926       -1.55447926        1.0170e-11
    76.770         -1.56393936       -1.56393936        9.9536e-12
    76.785         -1.57343774       -1.57343774        9.7351e-12
    76.800         -1.58297309       -1.58297309        9.5146e-12
    76.815         -1.59254406       -1.59254406        9.2917e-12
    76.830         -1.60214931       -1.60214931        9.0667e-12
    76.845         -1.61178748       -1.61178748        8.8398e-12
    76.860         -1.62145722       -1.62145722        8.6109e-12
    76.875         -1.63115713       -1.63115713        8.3802e-12
    76.890         -1.64088584       -1.64088584        8.1479e-12
    76.905         -1.65064196       -1.65064196        7.9139e-12
    76.920         -1.66042407       -1.66042407        7.6781e-12
    76.935         -1.67023077       -1.67023077        7.4407e-12
    76.950         -1.68006064       -1.68006064        7.2018e-12
    76.965         -1.68991224       -1.68991224        6.9615e-12
    76.980         -1.69978416       -1.69978416        6.7197e-12
    76.995         -1.70967494       -1.70967494        6.4768e-12
    77.010         -1.71958315       -1.71958315        6.2328e-12
    77.025         -1.72950732       -1.72950732        5.9877e-12
    77.040         -1.73944599       -1.73944599        5.7414e-12
    77.055         -1.74939772       -1.74939772        5.4940e-12
    77.070         -1.75936102       -1.75936102        5.2458e-12
    77.085         -1.76933442       -1.76933442        4.9969e-12
    77.100         -1.77931645       -1.77931645        4.7473e-12
    77.115         -1.78930563       -1.78930563        4.4971e-12
    77.130         -1.79930047       -1.79930047        4.2464e-12
    77.145         -1.80929949       -1.80929949        3.9952e-12
    77.160         -1.81930120       -1.81930120        3.7439e-12
    77.175         -1.82930410       -1.82930410        3.4921e-12
    77.190         -1.83930672       -1.83930672        3.2401e-12
    77.205         -1.84930754       -1.84930754        2.9878e-12
    77.220         -1.85930509       -1.85930509        2.7356e-12
    77.235         -1.86929786       -1.86929786        2.4833e-12
    77.250         -1.87928436       -1.87928436        2.2313e-12
    77.265         -1.88926310       -1.88926310        1.9795e-12
    77.280         -1.89923259       -1.89923259        1.7282e-12
    77.295         -1.90919132       -1.90919132        1.4773e-12
    77.310         -1.91913782       -1.91913782        1.2268e-12
    77.325         -1.92907060       -1.92907060        9.7677e-13
    77.340         -1.93898817       -1.93898817        7.2742e-13
    77.355         -1.94888905       -1.94888905        4.7895e-13
    77.370         -1.95877176       -1.95877176        2.3115e-13
    77.385         -1.96863482       -1.96863482       -1.5765e-14
    77.400         -1.97847676       -1.97847676       -2.6157e-13
    77.415         -1.98829612       -1.98829612       -5.0626e-13
    77.430         -1.99809144       -1.99809144       -7.5007e-13
    77.445         -2.00786126       -2.00786126       -9.9254e-13
    77.460         -2.01760412       -2.01760412       -1.2337e-12
    77.475         -2.02731859       -2.02731859       -1.4730e-12
    77.490         -2.03700322       -2.03700322       -1.7111e-12
    77.505         -2.04665658       -2.04665658       -1.9478e-12
    77.520         -2.05627725       -2.05627725       -2.1827e-12
    77.535         -2.06586382       -2.06586382       -2.4158e-12
    77.550         -2.07541486       -2.07541486       -2.6477e-12
    77.565         -2.08492899       -2.08492899       -2.8773e-12
    77.580         -2.09440481       -2.09440481       -3.1046e-12
    77.595         -2.10384094       -2.10384094       -3.3302e-12
    77.610         -2.11323600       -2.11323600       -3.5536e-12
    77.625         -2.12258864       -2.12258864       -3.7748e-12
    77.640         -2.13189749       -2.13189749       -3.9937e-12
    77.655         -2.14116121       -2.14116121       -4.2100e-12
    77.670         -2.15037848       -2.15037848       -4.4240e-12
    77.685         -2.15954797       -2.15954797       -4.6354e-12
    77.700         -2.16866837       -2.16866837       -4.8446e-12
